DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level,Mechanism,atc_category
DDInter1928,Verapamil,DDInter1533,Promethazine,2,Unknown,Respiratory System
DDInter1928,Verapamil,DDInter1614,Roflumilast,2,Unknown,Respiratory System
DDInter1791,Theophylline,DDInter1928,Verapamil,2,Unknown,Respiratory System
DDInter1793,Thiethylperazine,DDInter1928,Verapamil,2,Unknown,Respiratory System
DDInter1928,Verapamil,DDInter45,Alimemazine,2,Unknown,Respiratory System
DDInter128,Astemizole,DDInter448,Crizotinib,3,Unknown,Respiratory System
DDInter448,Crizotinib,DDInter766,Fluticasone,2,Unknown,Respiratory System
DDInter915,Indacaterol,DDInter448,Crizotinib,2,Unknown,Respiratory System
DDInter987,Isoprenaline,DDInter448,Crizotinib,3,Unknown,Respiratory System
DDInter997,Ivacaftor,DDInter448,Crizotinib,3,Unknown,Respiratory System
DDInter1346,Orciprenaline,DDInter448,Crizotinib,3,Synergy,Respiratory System
DDInter448,Crizotinib,DDInter1331,Olodaterol,2,Unknown,Respiratory System
DDInter1476,Pirbuterol,DDInter448,Crizotinib,2,Unknown,Respiratory System
DDInter1533,Promethazine,DDInter448,Crizotinib,3,Synergy,Respiratory System
DDInter1635,Salmeterol,DDInter448,Crizotinib,2,Unknown,Respiratory System
DDInter1769,Terbutaline,DDInter448,Crizotinib,3,Synergy,Respiratory System
DDInter1770,Terfenadine,DDInter448,Crizotinib,3,Unknown,Respiratory System
DDInter45,Alimemazine,DDInter448,Crizotinib,3,Unknown,Respiratory System
DDInter1955,Zafirlukast,DDInter448,Crizotinib,2,Unknown,Respiratory System
DDInter935,"Insulin human (inhalation, rapid acting)",DDInter449,Cromoglicic acid,2,Unknown,Respiratory System
DDInter16,Acetohexamide,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter474,Dapagliflozin,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter607,Dulaglutide,DDInter768,Fluticasone (topical),1,Unknown,Respiratory System
DDInter768,Fluticasone (topical),DDInter614,Echinacea,2,Unknown,Respiratory System
