cid,cid_name,ddinter_name,ddinter_num,match_type,score
CID100004463,nevirapine,nevirapine,1285,exact,1.0
CID100004473,nicardipine,nicardipine,1287,exact,1.0
CID100004485,nifedipine,nifedipine,1291,exact,1.0
CID100004493,nilutamide,nilutamide,1294,exact,1.0
CID100004497,nimodipine,nimodipine,1295,exact,1.0
CID100004499,nisoldipine,nisoldipine,1298,exact,1.0
CID100004506,nitrazepam,nitrazepam,1301,exact,1.0
CID100004509,nitrofurantoin,nitrofurantoin,1303,exact,1.0
CID100004510,nitroglycerin,nitroglycerin,1304,exact,1.0
CID100004513,nizatidine,nizatidine,1309,exact,1.0
CID100004536,norethisterone,norethisterone,1312,exact,1.0
CID100004539,norfloxacin,norfloxacin,1313,exact,1.0
CID100004542,levonorgestrel,levonorgestrel,1061,exact,1.0
CID100004543,nortriptyline,nortriptyline,1316,exact,1.0
CID100004547,repaglinide,repaglinide,1581,exact,1.0
CID100004568,nystatin,nystatin,1318,exact,1.0
CID100004583,ofloxacin,ofloxacin,1325,exact,1.0
CID100004585,olanzapine,olanzapine,1326,exact,1.0
CID100004594,omeprazole,omeprazole,1340,exact,1.0
CID100004595,ondansetron,ondansetron,1342,exact,1.0
CID100004599,orlistat,orlistat,1348,exact,1.0
CID100004601,orphenadrine,orphenadrine,1349,exact,1.0
CID100004603,oseltamivir,oseltamivir,1350,exact,1.0
CID100004607,oxacillin,oxacillin,1354,exact,1.0
CID100004609,oxaliplatin,oxaliplatin,1355,exact,1.0
CID100004614,oxaprozin,oxaprozin,1358,exact,1.0
CID100004616,oxazepam,oxazepam,1359,exact,1.0
CID100004623,oxiconazole,voriconazole,1946,fuzzy,0.8696
CID100004631,oxprenolol,,,unmatched,0.0
CID100004634,oxybutynin,oxybutynin,1365,exact,1.0
CID100004635,oxycodone,oxycodone,1366,exact,1.0
CID100004638,oxymetholone,oxymetholone,1371,exact,1.0
CID100004639,oxymorphone,oxymorphone,1372,exact,1.0
CID100004649,APAs,,,unmatched,0.0
CID100004666,paclitaxel,paclitaxel,1377,exact,1.0
CID100004673,pamidronate,,,unmatched,0.0
CID100004675,pancuronium,pancuronium,1385,exact,1.0
CID100004678,dexpanthenol,,,unmatched,0.0
CID100004679,pantoprazole,pantoprazole,1388,exact,1.0
CID100004680,papaverine,papaverine,1389,exact,1.0
CID100004689,paromomycin,paromomycin,1396,exact,1.0
CID100004691,paroxetine,paroxetine,1397,exact,1.0
CID100004695,isosulfan,,,unmatched,0.0
CID100004724,penbutolol,penbutolol,1417,exact,1.0
CID100004725,penciclovir,,,unmatched,0.0
CID100004727,D-penicillamine,penicillamine,1419,fuzzy,0.9286
CID100004730,penicillin,penicillamine,1419,fuzzy,0.8696
CID100004735,pentamidine,pentamidine,1420,exact,1.0
CID100004736,pentazocine,pentazocine,1421,exact,1.0
CID100004737,pentobarbital,pentobarbital,1423,exact,1.0
CID100004739,pentostatin,pentostatin,1425,exact,1.0
CID100004740,pentoxifylline,pentoxifylline,1426,exact,1.0
CID100004745,pergolide,pergolide,1430,exact,1.0
CID100004746,perhexiline,,,unmatched,0.0
CID100004747,propericiazine,,,unmatched,0.0
CID100004748,perphenazine,perphenazine,1432,exact,1.0
CID100004756,phenylazo,,,unmatched,0.0
CID100004763,phenobarbital,phenobarbital,1442,exact,1.0
CID100004768,phenoxybenzamine,phenoxybenzamine,1444,exact,1.0
CID100004771,phentermine,phentermine,1447,exact,1.0
CID100004775,4-PBA,,,unmatched,0.0
CID100004782,phenylephrine,phenylephrine,1453,exact,1.0
CID100004786,phenylpropanolamine,phenylpropanolamine,1458,exact,1.0
CID100004810,moxonidine,,,unmatched,0.0
CID100004811,physostigmine,physostigmine,1462,exact,1.0
CID100004812,vitamin,vitamin e,1943,fuzzy,0.875
CID100004819,pilocarpine,pilocarpine,1465,exact,1.0
CID100004828,pindolol,pindolol,1471,exact,1.0
CID100004829,pioglitazone,pioglitazone,1472,exact,1.0
CID100004834,piperacillin,piperacillin,1474,exact,1.0
CID100004845,pirbuterol,pirbuterol,1476,exact,1.0
CID100004865,podophyllotoxin,,,unmatched,0.0
CID100004868,polymyxin,polymyxin b,1489,fuzzy,0.9
CID100004870,polythiazide,polythiazide,1490,exact,1.0
CID100004885,pramipexole,pramipexole,1505,exact,1.0
CID100004889,pravastatin,pravastatin,1509,exact,1.0
CID100004891,praziquantel,praziquantel,1510,exact,1.0
CID100004893,prazosin,prazosin,1511,exact,1.0
CID100004894,prednisolone,prednisolone,1513,exact,1.0
CID100004895,prednisolone,prednisolone,1513,exact,1.0
CID100004896,prednisolone,prednisolone,1513,exact,1.0
CID100004900,prednisone,prednisone,1515,exact,1.0
CID100004906,prilocaine,prilocaine,1518,exact,1.0
CID100004908,primaquine,primaquine,1520,exact,1.0
CID100004909,primidone,primidone,1521,exact,1.0
CID100004911,probenecid,probenecid,1522,exact,1.0
CID100004913,procainamide,procainamide,1524,exact,1.0
CID100004914,procaine,procaine,1525,exact,1.0
CID100004915,procarbazine,procarbazine,1526,exact,1.0
CID100004917,prochlorperazine,prochlorperazine,1527,exact,1.0
CID100004920,progesterone,progesterone,1529,exact,1.0
CID100004923,proguanil,proguanil,1531,exact,1.0
CID100004927,promethazine,promethazine,1533,exact,1.0
CID100004932,propafenone,propafenone,1534,exact,1.0
CID100004934,propantheline,propantheline,1535,exact,1.0
CID100004935,proparacaine,,,unmatched,0.0
CID100004943,propofol,propofol,1538,exact,1.0
CID100004946,propranolol,propranolol,1539,exact,1.0
CID100004976,protriptyline,protriptyline,1543,exact,1.0
CID100004989,pyrantel,pyrantel,1546,exact,1.0
CID100004991,pyridostigmine,pyridostigmine,1548,exact,1.0
CID100004992,mepyramine,mepyramine,1155,exact,1.0
CID100004993,pyrimethamine,pyrimethamine,1550,exact,1.0
CID100004999,quazepam,quazepam,1552,exact,1.0
CID100005002,quetiapine,quetiapine,1553,exact,1.0
CID100005005,quinapril,quinapril,1554,exact,1.0
CID100005029,rabeprazole,rabeprazole,1559,exact,1.0
CID100005032,ephedrine,ephedrine,650,exact,1.0
CID100005035,raloxifene,raloxifene,1562,exact,1.0
CID100005038,ramipril,ramipril,1565,exact,1.0
CID100005039,ranitidine,ranitidine,1568,exact,1.0
CID100005040,rapamycin,,,unmatched,0.0
